mosque_name,decade,what_happend,how
Batal Mosque,1580,Established,
Batal Mosque,1870,Demolished,
Batal Mosque,1680,Damaged, in battles with Austrians
Batal Mosque,1760,Renovated,
Batal Mosque,1780,Damaged,during siege by Laudon
Batal Mosque,1830,Renovated,
Batal Mosque,1860,Abandoned,
Sinjirli Mosque,1540,Established,
Sinjirli Mosque,1870,Demolished,
Sinjirli Mosque,1680,Damaged, in battles with Austrians
Sinjirli Mosque,1720,Changed function,used as an artillery and gunpowder depot
Sinjirli Mosque,1730,Changed function,used by Franciscans and as military clothing storage
Sinjirli Mosque,1741,Renovated,
Shehitluk Mosque,1570,Established,
Shehitluk Mosque,1720,Changed function,during Austrian occupation
Shehitluk Mosque,1740,Renovated,
Shehitluk Mosque,1830,Abandoned,
Shehitluk Mosque,1870,Demolished,
Hasan Pasha's Mosque,1740,Established,
Hasan Pasha's Mosque,1800,Damaged,
Hasan Pasha's Mosque,1820,Renovated,
Hasan Pasha's Mosque,1860,Abandoned,
Hasan Pasha's Mosque,1900,Changed function,used as a warehouse by Serbs
Hasan Pasha's Mosque,1940,Demolished,
Kara Mosque,1550,Established,
Kara Mosque,1710,Changed function,used as a hospital facility during Austrian occupation
Kara Mosque,1730,Renovated,
Kara Mosque,1860,Changed function,converted into a gasworks for the National Theatre
Kara Mosque,1890,Abandoned,
Kara Mosque,1900,Demolished,
Turbe Mosque,1600,Established,
Turbe Mosque,1710,Changed function,as a hospital during Austrian occupation
Turbe Mosque,1740,Renovated,
Turbe Mosque,1860,Changed function,converted into a theater props warehouse
Turbe Mosque,1870,Demolished,
Sultan Mustafa Mosque,1560,Established,
Sultan Mustafa Mosque,1680,Damaged, in battles with Austrians
Sultan Mustafa Mosque,1690,Renovated,
Sultan Mustafa Mosque,1710,Changed function,
Sultan Mustafa Mosque,1730,Renovated,
Sultan Mustafa Mosque,1870,Demolished,
